unique_id,ds,NBEATS,NHITS
hotel_0,2023-07-01,0.9285291,0.86215496
hotel_0,2023-07-02,0.5754562,0.65663755
hotel_0,2023-07-03,0.5988309,0.62624025
hotel_0,2023-07-04,0.6942235,0.6634833
hotel_0,2023-07-05,0.7084656,0.7641504
hotel_0,2023-07-06,0.7133532,0.776163
hotel_0,2023-07-07,0.8487674,0.83884495
hotel_0,2023-07-08,0.94044363,0.8548482
hotel_0,2023-07-09,0.6107514,0.67962635
hotel_0,2023-07-10,0.60962355,0.62754416
hotel_0,2023-07-11,0.6997214,0.6856925
hotel_0,2023-07-12,0.73047525,0.733641
hotel_0,2023-07-13,0.7338762,0.7755547
hotel_0,2023-07-14,0.8468046,0.838094
hotel_0,2023-07-15,0.93167937,0.8599776
hotel_0,2023-07-16,0.5951023,0.6650435
hotel_0,2023-07-17,0.61417294,0.63205624
hotel_0,2023-07-18,0.7211381,0.6928436
hotel_0,2023-07-19,0.7432283,0.7539183
hotel_0,2023-07-20,0.7567166,0.7682658
hotel_0,2023-07-21,0.8450304,0.85454553
hotel_0,2023-07-22,0.9290005,0.8727276
hotel_0,2023-07-23,0.592685,0.6973062
hotel_0,2023-07-24,0.59322155,0.62317246
hotel_0,2023-07-25,0.7235034,0.6812199
hotel_0,2023-07-26,0.7713859,0.7594513
hotel_0,2023-07-27,0.7565874,0.7776892
hotel_0,2023-07-28,0.8730769,0.86280113
hotel_105,2023-07-01,1.0067095,0.9938481
hotel_105,2023-07-02,0.9901434,0.9593996
hotel_105,2023-07-03,1.0052522,0.9946072
hotel_105,2023-07-04,1.0358353,1.020141
hotel_105,2023-07-05,1.0253298,1.0126542
hotel_105,2023-07-06,0.99185795,0.9878549
hotel_105,2023-07-07,0.99065584,0.9821885
hotel_105,2023-07-08,0.9999315,0.98260653
hotel_105,2023-07-09,0.9804494,0.9570631
hotel_105,2023-07-10,1.0023974,0.9899983
hotel_105,2023-07-11,1.0338329,1.017104
hotel_105,2023-07-12,1.0296298,0.9933321
hotel_105,2023-07-13,0.9904155,0.9697313
hotel_105,2023-07-14,0.99077,0.98708874
hotel_105,2023-07-15,0.9922111,0.97011817
hotel_105,2023-07-16,0.9752635,0.9547946
hotel_105,2023-07-17,1.0000508,0.9844741
hotel_105,2023-07-18,1.0246348,1.0135691
hotel_105,2023-07-19,1.0186714,0.9947589
hotel_105,2023-07-20,0.98237824,0.96506953
hotel_105,2023-07-21,0.9921505,0.9788777
hotel_105,2023-07-22,0.987628,0.9742097
hotel_105,2023-07-23,0.9801484,0.9620767
hotel_105,2023-07-24,0.9922493,0.9825304
hotel_105,2023-07-25,1.020443,1.0085719
hotel_105,2023-07-26,1.0200754,0.9960955
hotel_105,2023-07-27,0.98117584,0.9764254
hotel_105,2023-07-28,0.9957783,0.98687834
hotel_112,2023-07-01,0.9504196,0.9265057
hotel_112,2023-07-02,0.92305744,0.8896897
hotel_112,2023-07-03,0.9219413,0.9245809
hotel_112,2023-07-04,0.9445343,0.9516474
hotel_112,2023-07-05,0.94539225,0.9414803
hotel_112,2023-07-06,0.9536777,0.93602717
hotel_112,2023-07-07,0.9139021,0.92053753
hotel_112,2023-07-08,0.9214756,0.89326787
hotel_112,2023-07-09,0.90964156,0.87184024
hotel_112,2023-07-10,0.90292346,0.9126878
hotel_112,2023-07-11,0.9425738,0.940258
hotel_112,2023-07-12,0.9721168,0.9289937
hotel_112,2023-07-13,0.9513778,0.91833705
hotel_112,2023-07-14,0.92118144,0.9228682
hotel_112,2023-07-15,0.9209335,0.8812557
hotel_112,2023-07-16,0.89446425,0.8692851
hotel_112,2023-07-17,0.9023501,0.90423477
hotel_112,2023-07-18,0.92635787,0.93471295
hotel_112,2023-07-19,0.9626613,0.92286867
hotel_112,2023-07-20,0.9320101,0.91879535
hotel_112,2023-07-21,0.91382587,0.9152324
hotel_112,2023-07-22,0.9176271,0.8850461
hotel_112,2023-07-23,0.90767145,0.87239575
hotel_112,2023-07-24,0.90097296,0.90984577
hotel_112,2023-07-25,0.9199601,0.9439721
hotel_112,2023-07-26,0.95333505,0.9334885
hotel_112,2023-07-27,0.9447746,0.9317143
hotel_112,2023-07-28,0.9089437,0.9257748
hotel_126,2023-07-01,1.0018151,0.9899082
hotel_126,2023-07-02,0.9974386,0.9835426
hotel_126,2023-07-03,0.98642856,0.9923987
hotel_126,2023-07-04,0.998521,0.98935294
hotel_126,2023-07-05,0.9969542,0.9828302
hotel_126,2023-07-06,0.98076206,0.969912
hotel_126,2023-07-07,0.9873356,0.97807443
hotel_126,2023-07-08,0.99393517,0.9927273
hotel_126,2023-07-09,0.9940032,0.98574924
hotel_126,2023-07-10,0.9886958,0.98891264
hotel_126,2023-07-11,1.0024662,0.98584837
hotel_126,2023-07-12,0.9971538,0.9684419
hotel_126,2023-07-13,0.9804188,0.95771974
hotel_126,2023-07-14,0.98752236,0.97611576
hotel_126,2023-07-15,0.991533,0.979488
hotel_126,2023-07-16,0.98414016,0.9780896
hotel_126,2023-07-17,0.97796255,0.98048717
hotel_126,2023-07-18,0.9914594,0.9867188
hotel_126,2023-07-19,0.9902613,0.9703614
hotel_126,2023-07-20,0.9735238,0.9533379
hotel_126,2023-07-21,0.9873613,0.9744097
hotel_126,2023-07-22,0.9906247,0.98354006
hotel_126,2023-07-23,0.9898699,0.9827736
hotel_126,2023-07-24,0.982015,0.9850241
hotel_126,2023-07-25,0.98170877,0.98665166
hotel_126,2023-07-26,0.9946488,0.9731049
hotel_126,2023-07-27,0.96968865,0.9630887
hotel_126,2023-07-28,0.98391914,0.97962266
hotel_133,2023-07-01,0.97875243,0.9701582
hotel_133,2023-07-02,0.9160418,0.9081266
hotel_133,2023-07-03,0.9317156,0.90824395
hotel_133,2023-07-04,0.96536857,0.9266099
hotel_133,2023-07-05,0.9563916,0.949563
hotel_133,2023-07-06,0.9538228,0.9505247
hotel_133,2023-07-07,0.97704947,0.96172106
hotel_133,2023-07-08,0.97016305,0.96826744
hotel_133,2023-07-09,0.908878,0.9145988
hotel_133,2023-07-10,0.9213768,0.9066552
hotel_133,2023-07-11,0.95330894,0.9267523
hotel_133,2023-07-12,0.9507538,0.9312354
hotel_133,2023-07-13,0.94793737,0.9338479
hotel_133,2023-07-14,0.9772067,0.9629163
hotel_133,2023-07-15,0.9759743,0.9614799
hotel_133,2023-07-16,0.894993,0.90483916
hotel_133,2023-07-17,0.9200885,0.897394
hotel_133,2023-07-18,0.94331807,0.9216993
hotel_133,2023-07-19,0.9472676,0.93627006
hotel_133,2023-07-20,0.9462098,0.9317384
hotel_133,2023-07-21,0.97650784,0.95996666
hotel_133,2023-07-22,0.97712606,0.96192193
hotel_133,2023-07-23,0.9066639,0.9105675
hotel_133,2023-07-24,0.9172053,0.902593
